GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,NAME_E,AD38E001,AD38E002,AD38E003,AD38E004,AD38E005,AD39E001,AD39E002,AD39E003,AD39E004,AD39E005,AD39E006,AD4AE001,AD4AE002,AD4AE003,AD4AE004,AD4AE005,AD4AE006,AD4BE001,NAME_M,AD38M001,AD38M002,AD38M003,AD38M004,AD38M005,AD39M001,AD39M002,AD39M003,AD39M004,AD39M005,AD39M006,AD4AM001,AD4AM002,AD4AM003,AD4AM004,AD4AM005,AD4AM006,AD4BM001
"G2000670","2011-2015",,,"Kansas","20","Grant County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,"Grant County, Kansas",33975,46815,64734,95303,169156,17958,40481,55991,80062,171699,308645,4.90,11.05,15.29,21.86,46.89,21.07,0.4131,"Grant County, Kansas",5477,4499,7873,17619,60669,6522,3670,5660,10378,30762,83250,1.63,1.10,1.35,1.97,4.19,4.55,0.0471
"G2000690","2011-2015",,,"Kansas","20","Gray County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,"Gray County, Kansas",32297,51722,70056,101824,167250,19725,42552,60603,85214,150902,233869,5.49,11.85,16.88,23.74,42.03,16.29,0.3653,"Gray County, Kansas",2469,1729,4743,2685,18353,2240,2497,2546,4213,12743,32508,0.62,0.67,0.74,0.85,2.07,1.83,0.0232
"G2000710","2011-2015",,,"Kansas","20","Greeley County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,"Greeley County, Kansas",29750,42484,57111,84143,176453,19056,35676,48703,70205,143873,228470,6.00,11.24,15.34,22.11,45.31,17.99,0.3859,"Greeley County, Kansas",3759,3122,8617,13708,55807,3506,4593,5163,8658,23777,35975,1.06,1.33,1.20,1.50,3.86,2.39,0.0401
"G2000730","2011-2015",,,"Kansas","20","Greenwood County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenwood County, Kansas",18321,31974,47798,70953,116208,11660,25311,39490,58654,127920,240937,4.44,9.62,15.01,22.30,48.63,22.90,0.4420,"Greenwood County, Kansas",1607,1612,3117,4494,13738,1237,2065,2567,2885,22320,80699,0.59,1.03,1.37,1.74,4.24,5.66,0.0460
"G2000750","2011-2015",,,"Kansas","20","Hamilton County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,"Hamilton County, Kansas",23962,34045,55439,87000,127625,12733,29510,43930,69122,130756,201968,4.45,10.32,15.36,24.16,45.71,17.65,0.4130,"Hamilton County, Kansas",5869,3616,8150,6605,19049,2688,2315,6423,7991,18789,61104,0.87,0.95,1.59,1.90,3.67,4.28,0.0378
"G2000770","2011-2015",,,"Kansas","20","Harper County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,"Harper County, Kansas",17482,33737,55582,84641,151196,10119,26432,44323,69226,141975,252608,3.53,9.04,15.16,23.69,48.58,21.61,0.4529,"Harper County, Kansas",3469,3043,4588,5876,36717,1471,2160,3290,4404,14010,41911,0.47,0.71,0.91,1.18,2.45,2.66,0.0256
"G2000790","2011-2015",,,"Kansas","20","Harvey County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,"Harvey County, Kansas",22736,42179,63460,93486,141615,12870,33075,51997,76313,134201,194154,4.17,10.72,16.86,24.74,43.51,15.74,0.3947,"Harvey County, Kansas",1754,1592,2950,5031,5328,1539,1794,2386,2721,6304,17686,0.45,0.50,0.56,0.64,1.26,1.21,0.0142
"G2000810","2011-2015",,,"Kansas","20","Haskell County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,"Haskell County, Kansas",29097,47050,70234,98667,153021,17819,38947,56876,83031,154652,247098,5.07,11.09,16.19,23.63,44.02,17.58,0.3883,"Haskell County, Kansas",2900,3286,6123,10970,40610,2278,2653,4380,5519,18754,51114,0.63,0.89,0.83,1.05,2.56,2.61,0.0279
"G2000830","2011-2015",,,"Kansas","20","Hodgeman County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,"Hodgeman County, Kansas",27041,44389,67423,93467,170375,18497,35395,55144,79317,179993,362432,5.02,9.61,14.97,21.53,48.87,24.60,0.4377,"Hodgeman County, Kansas",3405,3984,6746,6942,98776,2243,3801,5301,5497,54543,176991,0.88,1.54,2.12,2.83,6.94,8.20,0.0701
"G2000850","2011-2015",,,"Kansas","20","Jackson County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Kansas",26207,43392,65253,92848,135690,14859,34103,53730,77845,135513,218595,4.70,10.79,17.00,24.63,42.88,17.29,0.3872,"Jackson County, Kansas",2843,3632,3914,6127,11041,1525,2186,3130,3882,14810,51253,0.52,0.72,0.97,1.14,2.81,3.31,0.0301
"G2000870","2011-2015",,,"Kansas","20","Jefferson County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Kansas",29601,50187,69761,97914,135739,17659,39524,58279,82494,128629,175661,5.41,12.10,17.84,25.26,39.39,13.45,0.3441,"Jefferson County, Kansas",2335,2291,4154,4201,4710,1625,2273,2637,3701,5564,16639,0.44,0.47,0.44,0.62,1.14,1.10,0.0135
"G2000890","2011-2015",,,"Kansas","20","Jewell County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,"Jewell County, Kansas",18029,31611,47796,72563,113336,10540,24347,39713,57607,113804,185133,4.28,9.90,16.14,23.42,46.26,18.81,0.4191,"Jewell County, Kansas",1922,1876,3797,7595,15625,1719,2519,3119,4923,14314,43535,0.66,0.92,1.00,1.28,2.95,3.33,0.0327
"G2000910","2011-2015",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,"Johnson County, Kansas",35434,61470,92771,140748,250001,20678,48192,76303,114192,251865,465752,4.05,9.43,14.93,22.34,49.27,22.78,0.4502,"Johnson County, Kansas",805,796,1278,1602,,540,762,984,1322,6871,24343,0.11,0.14,0.21,0.30,0.64,0.88,0.0067
"G2000930","2011-2015",,,"Kansas","20","Kearny County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,"Kearny County, Kansas",25406,43188,62667,92000,175328,14929,34068,52547,76520,157341,266561,4.45,10.16,15.67,22.81,46.91,19.87,0.4209,"Kearny County, Kansas",3197,6490,6399,10930,49636,3186,4263,5698,7663,24907,72038,0.90,1.09,1.35,1.40,3.48,3.80,0.0377
"G2000950","2011-2015",,,"Kansas","20","Kingman County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,"Kingman County, Kansas",22777,41223,65161,91041,141750,14771,31686,51677,77937,134813,215019,4.75,10.19,16.62,25.07,43.36,17.29,0.3953,"Kingman County, Kansas",3310,3396,4965,1647,11874,1630,3257,4767,4913,15086,46854,0.47,0.88,1.17,1.29,2.87,3.00,0.0298
"G2000970","2011-2015",,,"Kansas","20","Kiowa County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,"Kiowa County, Kansas",15966,35333,55548,85810,122094,9601,25629,44876,70105,133673,230098,3.38,9.03,15.81,24.69,47.09,20.26,0.4446,"Kiowa County, Kansas",2663,4378,5291,3716,26748,1553,3166,3554,4463,17742,61982,0.50,0.98,1.09,1.49,3.06,4.08,0.0321
"G2000990","2011-2015",,,"Kansas","20","Labette County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,"Labette County, Kansas",17919,32638,52026,78314,122725,10403,24920,41671,64379,116921,181681,4.03,9.65,16.13,24.92,45.27,17.58,0.4183,"Labette County, Kansas",1274,1979,3332,2478,6957,1038,1547,2343,2729,7393,22953,0.38,0.50,0.69,0.76,1.63,1.76,0.0175
"G2001010","2011-2015",,,"Kansas","20","Lane County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lane County, Kansas",21944,47250,63646,85156,139196,13604,33476,57168,73042,148617,278040,4.17,10.27,17.54,22.41,45.60,21.33,0.4137,"Lane County, Kansas",4205,9842,4170,4508,20924,2636,6464,4364,5653,20008,64225,0.74,1.49,1.32,1.60,3.23,3.72,0.0349
"G2001030","2011-2015",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,"Leavenworth County, Kansas",26347,50326,77314,113092,177955,14026,38666,63636,94560,164370,245570,3.74,10.30,16.96,25.20,43.80,16.36,0.4049,"Leavenworth County, Kansas",1590,1987,3430,2535,9125,1206,1747,2027,2528,5628,17843,0.30,0.41,0.42,0.53,1.12,1.07,0.0125
"G2001050","2011-2015",,,"Kansas","20","Lincoln County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lincoln County, Kansas",20685,35385,55284,81141,132125,12026,27590,44800,68377,135825,244085,4.24,9.55,15.51,23.67,47.02,21.13,0.4333,"Lincoln County, Kansas",1736,3193,4575,3310,35507,1973,2336,3784,4972,21960,73801,0.67,0.97,1.38,1.73,4.01,4.99,0.0415
"G2001070","2011-2015",,,"Kansas","20","Linn County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,"Linn County, Kansas",18705,34843,55248,81519,141265,10334,26496,45778,68051,153063,292859,3.40,8.72,15.07,22.41,50.40,24.11,0.4718,"Linn County, Kansas",1938,3804,3204,3090,5877,1823,2741,3241,3284,33128,122541,0.58,1.11,1.68,2.36,5.20,7.45,0.0544
"G2001090","2011-2015",,,"Kansas","20","Logan County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,"Logan County, Kansas",24148,38962,58855,89424,154973,13210,30303,47512,71851,158941,301034,4.10,9.42,14.76,22.33,49.39,23.39,0.4521,"Logan County, Kansas",2108,6409,6054,3864,23567,2793,2829,4076,6382,24723,86678,0.88,0.98,1.34,2.00,4.16,5.21,0.0434
"G2001110","2011-2015",,,"Kansas","20","Lyon County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lyon County, Kansas",17177,32779,48619,76021,137276,9031,25032,40252,61196,124121,201882,3.49,9.64,15.50,23.57,47.80,19.44,0.4405,"Lyon County, Kansas",1280,2088,2645,3893,12649,981,1727,1661,2476,9293,27937,0.37,0.65,0.64,0.85,1.95,2.07,0.0210
"G2001130","2011-2015",,,"Kansas","20","McPherson County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,"McPherson County, Kansas",29487,45836,67334,100513,159262,17806,37540,56315,81490,155294,252742,5.11,10.77,16.16,23.39,44.57,18.13,0.3944,"McPherson County, Kansas",1614,1672,2794,3650,11877,1418,1622,2360,3499,10892,31754,0.39,0.46,0.59,0.73,1.52,1.68,0.0165
"G2001150","2011-2015",,,"Kansas","20","Marion County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,"Marion County, Kansas",21311,36018,57047,82308,132906,12174,28361,46258,68907,134024,231838,4.20,9.79,15.97,23.78,46.26,20.01,0.4247,"Marion County, Kansas",1955,2121,2975,4548,10057,1411,1952,2723,2938,12705,46646,0.46,0.64,0.97,1.08,2.58,3.27,0.0278
"G2001170","2011-2015",,,"Kansas","20","Marshall County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall County, Kansas",19652,36450,56617,83522,139596,12135,27471,46149,70017,148377,271499,4.01,9.03,15.17,23.02,48.78,22.31,0.4495,"Marshall County, Kansas",1629,3085,3202,2858,14244,1102,2281,2571,3079,13510,41544,0.36,0.63,0.76,0.95,2.09,2.42,0.0216
"G2001190","2011-2015",,,"Kansas","20","Meade County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,"Meade County, Kansas",24072,42950,60133,86167,140917,14832,34609,52275,73161,125378,182011,4.94,11.53,17.41,24.37,41.76,15.15,0.3683,"Meade County, Kansas",2254,5953,3434,6294,19367,1888,3735,3104,4281,9401,18439,0.57,0.99,0.73,0.99,2.06,1.31,0.0228
"G2001210","2011-2015",,,"Kansas","20","Miami County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,"Miami County, Kansas",27301,49610,75041,114243,178750,14308,38031,61587,93525,168730,264254,3.80,10.11,16.37,24.86,44.85,17.56,0.4150,"Miami County, Kansas",2824,2774,3338,3812,17994,2469,3114,3009,3708,10394,35398,0.59,0.63,0.54,0.83,1.63,1.88,0.0198
"G2001230","2011-2015",,,"Kansas","20","Mitchell County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,"Mitchell County, Kansas",22079,36840,61213,90237,165181,12739,28465,48872,75508,151524,261918,4.02,8.98,15.41,23.81,47.78,20.65,0.4424,"Mitchell County, Kansas",3253,6479,5250,8020,21957,1934,3059,4735,4749,17441,46883,0.64,0.81,1.18,1.22,2.89,2.78,0.0301
"G2001250","2011-2015",,,"Kansas","20","Montgomery County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery County, Kansas",16057,32423,49164,76867,120869,9329,23776,40825,61227,119015,193212,3.68,9.35,16.06,24.09,46.82,19.00,0.4341,"Montgomery County, Kansas",1071,2096,1869,4052,6148,914,1606,1636,2656,8504,29846,0.35,0.61,0.66,0.85,1.88,2.38,0.0209
"G2001270","2011-2015",,,"Kansas","20","Morris County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,"Morris County, Kansas",22290,37435,53283,82000,131813,13997,30095,46370,66719,121224,180613,5.03,10.81,16.66,23.96,43.54,16.22,0.3851,"Morris County, Kansas",1813,4007,3598,6818,16698,1572,2379,2742,4716,9816,22441,0.57,0.77,0.82,1.03,2.12,1.57,0.0230
"G2001290","2011-2015",,,"Kansas","20","Morton County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,"Morton County, Kansas",22800,40598,53339,78595,128146,14026,31219,46309,63396,120250,193544,5.10,11.34,16.83,23.04,43.70,17.58,0.3827,"Morton County, Kansas",2903,3358,4624,10606,24662,3110,5672,4085,6563,15043,37409,1.05,1.60,1.21,1.42,2.90,2.40,0.0359
"G2001310","2011-2015",,,"Kansas","20","Nemaha County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,"Nemaha County, Kansas",21966,38738,61931,91596,142205,13033,30394,48903,75860,143574,241674,4.19,9.75,15.68,24.33,46.05,19.38,0.4236,"Nemaha County, Kansas",2380,3468,5076,5153,9064,1295,2198,3062,3457,15177,51524,0.44,0.69,0.92,1.13,2.69,3.28,0.0288
"G2001330","2011-2015",,,"Kansas","20","Neosho County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,"Neosho County, Kansas",17833,33915,51635,82571,130347,9907,24665,43317,64522,129676,215342,3.64,9.06,15.92,23.71,47.66,19.79,0.4421,"Neosho County, Kansas",1882,4144,2664,3803,8289,1366,2085,2419,4070,12112,40222,0.45,0.58,0.74,1.24,2.15,2.83,0.0214
"G2001350","2011-2015",,,"Kansas","20","Ness County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,"Ness County, Kansas",22648,37287,56839,95056,155266,13931,30584,46042,73668,166889,299442,4.21,9.24,13.91,22.25,50.40,22.61,0.4575,"Ness County, Kansas",3225,2933,4563,8065,15929,1737,2515,3393,5669,24059,84025,0.52,0.85,1.13,1.59,3.47,4.71,0.0358
"G2001370","2011-2015",,,"Kansas","20","Norton County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,"Norton County, Kansas",23250,35603,58747,84888,147360,16183,29477,47307,71311,129770,206932,5.50,10.02,16.09,24.25,44.13,17.59,0.3921,"Norton County, Kansas",3154,4434,5070,10419,58561,2147,3396,7569,7931,24525,55938,0.83,1.18,1.92,1.65,4.26,3.48,0.0430
"G2001390","2011-2015",,,"Kansas","20","Osage County","139",,,,,,,,,,,,,,,,,,,,,,,,,,,"Osage County, Kansas",22044,40503,60244,88344,145137,12869,30394,50035,72311,129810,193550,4.38,10.29,16.93,24.47,43.93,16.38,0.3984,"Osage County, Kansas",1570,3307,2158,3738,8898,1031,1895,2395,2552,7444,18903,0.31,0.45,0.53,0.64,1.28,1.19,0.0130
"G2001410","2011-2015",,,"Kansas","20","Osborne County","141",,,,,,,,,,,,,,,,,,,,,,,,,,,"Osborne County, Kansas",16941,31835,49886,81846,158917,9548,25150,40294,64715,144788,257703,3.36,8.84,14.16,22.75,50.89,22.64,0.4729,"Osborne County, Kansas",2405,2650,4172,4618,29036,1585,2663,3723,5559,20360,60087,0.53,0.88,1.23,1.58,3.51,3.84,0.0353
"G2001430","2011-2015",,,"Kansas","20","Ottawa County","143",,,,,,,,,,,,,,,,,,,,,,,,,,,"Ottawa County, Kansas",26823,41034,65190,91989,141221,15147,34149,52997,77493,136716,215154,4.79,10.79,16.74,24.48,43.20,16.99,0.3886,"Ottawa County, Kansas",2033,2416,3269,5230,12176,1817,2035,3060,3660,12625,43344,0.57,0.65,0.92,1.04,2.43,2.87,0.0270
"G2001450","2011-2015",,,"Kansas","20","Pawnee County","145",,,,,,,,,,,,,,,,,,,,,,,,,,,"Pawnee County, Kansas",23786,34198,56073,88485,151700,14532,28898,44203,68325,143036,244762,4.86,9.67,14.78,22.85,47.84,20.47,0.4287,"Pawnee County, Kansas",3193,5589,7356,11636,29771,2939,3006,7464,7557,23170,70950,0.96,0.99,1.97,1.88,4.34,4.72,0.0452
"G2001470","2011-2015",,,"Kansas","20","Phillips County","147",,,,,,,,,,,,,,,,,,,,,,,,,,,"Phillips County, Kansas",22720,37067,52410,79433,142313,13828,29855,44429,65987,130934,214987,4.85,10.47,15.59,23.15,45.94,18.86,0.4086,"Phillips County, Kansas",2113,2737,4267,4544,12823,1606,1859,2181,4413,12805,36128,0.54,0.64,0.70,0.85,1.99,2.42,0.0226
"G2001490","2011-2015",,,"Kansas","20","Pottawatomie County","149",,,,,,,,,,,,,,,,,,,,,,,,,,,"Pottawatomie County, Kansas",28243,49498,70524,105922,160758,15828,38705,59826,85909,153372,228808,4.48,10.94,16.92,24.29,43.37,16.18,0.3892,"Pottawatomie County, Kansas",3570,2397,3504,6924,9473,2101,2676,2728,4535,8554,23259,0.57,0.59,0.55,0.82,1.48,1.44,0.0174
"G2001510","2011-2015",,,"Kansas","20","Pratt County","151",,,,,,,,,,,,,,,,,,,,,,,,,,,"Pratt County, Kansas",21217,40264,62576,97983,160518,12326,30075,50540,74888,164007,290139,3.71,9.06,15.23,22.57,49.42,21.86,0.4544,"Pratt County, Kansas",2108,3343,3385,11403,16453,2081,3341,4072,5550,17876,58980,0.55,0.80,0.88,1.35,2.48,3.20,0.0262
"G2001530","2011-2015",,,"Kansas","20","Rawlins County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,"Rawlins County, Kansas",20554,33104,51613,84393,149556,13669,26479,42071,64039,141560,243413,4.76,9.20,14.62,22.25,49.18,21.14,0.4408,"Rawlins County, Kansas",2164,4256,3470,11024,15031,1469,2974,4729,7416,20987,61704,0.56,0.94,1.28,1.63,3.52,3.96,0.0364
"G2001550","2011-2015",,,"Kansas","20","Reno County","155",,,,,,,,,,,,,,,,,,,,,,,,,,,"Reno County, Kansas",21314,37617,56156,82984,139150,12538,29586,45886,67802,135364,236265,4.31,10.16,15.76,23.29,46.49,20.28,0.4221,"Reno County, Kansas",1088,1341,1965,2996,4922,775,1231,1412,2186,6805,22951,0.26,0.40,0.43,0.58,1.29,1.54,0.0140
"G2001570","2011-2015",,,"Kansas","20","Republic County","157",,,,,,,,,,,,,,,,,,,,,,,,,,,"Republic County, Kansas",18899,32711,48378,75373,124391,11482,26208,40245,60943,121474,201396,4.41,10.07,15.46,23.41,46.66,19.34,0.4225,"Republic County, Kansas",1760,2441,4012,2704,2182,1359,1841,2351,3749,16002,52759,0.59,0.89,1.01,1.22,3.20,3.89,0.0355
"G2001590","2011-2015",,,"Kansas","20","Rice County","159",,,,,,,,,,,,,,,,,,,,,,,,,,,"Rice County, Kansas",21197,38032,58470,89000,132261,12149,29695,48424,72949,140182,245689,4.01,9.79,15.96,24.04,46.20,20.24,0.4275,"Rice County, Kansas",1442,3361,4159,3533,18000,1495,2224,2912,4017,25127,100211,0.53,0.98,1.43,2.10,4.55,6.64,0.0484
"G2001610","2011-2015",,,"Kansas","20","Riley County","161",,,,,,,,,,,,,,,,,,,,,,,,,,,"Riley County, Kansas",18774,34673,54643,91788,165489,8429,26831,44262,71853,159361,284293,2.71,8.63,14.24,23.12,51.28,22.87,0.4837,"Riley County, Kansas",1340,1466,2573,2661,11002,912,1425,1654,2569,11705,38456,0.29,0.45,0.59,0.80,1.63,2.20,0.0174
"G2001630","2011-2015",,,"Kansas","20","Rooks County","163",,,,,,,,,,,,,,,,,,,,,,,,,,,"Rooks County, Kansas",19294,34600,51823,78923,141523,11560,26726,43583,64265,130697,219605,4.18,9.65,15.74,23.21,47.21,19.83,0.4298,"Rooks County, Kansas",2383,3124,3322,4945,29858,1286,2277,2992,4295,13218,39188,0.49,0.79,0.93,1.26,2.73,2.80,0.0279
"G2001650","2011-2015",,,"Kansas","20","Rush County","165",,,,,,,,,,,,,,,,,,,,,,,,,,,"Rush County, Kansas",19852,31681,50667,77484,146583,11283,25921,40023,63108,123200,191211,4.28,9.84,15.19,23.95,46.75,18.14,0.4235,"Rush County, Kansas",1859,2256,4400,4850,34856,1858,1891,3567,3934,9660,19501,0.64,0.55,0.85,0.90,1.92,1.37,0.0205
"G2001670","2011-2015",,,"Kansas","20","Russell County","167",,,,,,,,,,,,,,,,,,,,,,,,,,,"Russell County, Kansas",16719,31354,52019,76115,120125,11145,24089,40983,63349,138611,269122,4.01,8.66,14.73,22.77,49.83,24.19,0.4633,"Russell County, Kansas",2110,4463,3607,5812,19555,1453,3158,5208,5164,29995,102381,0.64,1.15,1.89,2.34,5.09,6.63,0.0521
"G2001690","2011-2015",,,"Kansas","20","Saline County","169",,,,,,,,,,,,,,,,,,,,,,,,,,,"Saline County, Kansas",21574,37365,57013,86404,153497,13166,29043,47254,70676,150278,274828,4.24,9.36,15.22,22.77,48.41,22.13,0.4428,"Saline County, Kansas",1335,2260,2490,2633,9625,999,1529,1948,2624,11566,37786,0.36,0.56,0.71,0.75,2.02,2.33,0.0219
"G2001710","2011-2015",,,"Kansas","20","Scott County","171",,,,,,,,,,,,,,,,,,,,,,,,,,,"Scott County, Kansas",32748,45604,73069,105544,134433,18459,37653,54799,88622,140963,195133,5.42,11.06,16.09,26.03,41.40,14.33,0.3676,"Scott County, Kansas",3386,7400,19385,16236,74542,7033,4270,11497,11689,15771,37890,1.97,1.17,2.24,1.78,3.43,2.52,0.0429
"G2001730","2011-2015",,,"Kansas","20","Sedgwick County","173",,,,,,,,,,,,,,,,,,,,,,,,,,,"Sedgwick County, Kansas",21743,40027,62018,97480,165664,11725,30642,50492,77927,160404,275526,3.54,9.25,15.25,23.53,48.43,20.80,0.4496,"Sedgwick County, Kansas",440,641,666,1137,3691,336,531,640,902,3037,10169,0.09,0.13,0.17,0.23,0.49,0.60,0.0051
"G2001750","2011-2015",,,"Kansas","20","Seward County","175",,,,,,,,,,,,,,,,,,,,,,,,,,,"Seward County, Kansas",23568,39732,57831,86985,140259,13475,32144,47640,73393,137766,231362,4.48,10.55,15.64,24.10,45.23,18.99,0.4096,"Seward County, Kansas",2087,2618,6444,6793,24990,2013,2764,3302,4670,12266,38128,0.57,0.78,0.91,1.16,2.50,2.61,0.0262
"G2001770","2011-2015",,,"Kansas","20","Shawnee County","177",,,,,,,,,,,,,,,,,,,,,,,,,,,"Shawnee County, Kansas",21991,39768,62166,96106,156824,12292,30641,50532,77552,157071,268650,3.75,9.34,15.40,23.64,47.87,20.47,0.4429,"Shawnee County, Kansas",677,1062,1261,1666,4020,534,749,1183,1421,5064,18107,0.16,0.21,0.31,0.37,0.81,1.07,0.0087
"G2001790","2011-2015",,,"Kansas","20","Sheridan County","179",,,,,,,,,,,,,,,,,,,,,,,,,,,"Sheridan County, Kansas",24019,37556,63045,87275,156125,16538,30793,49461,75268,149010,274597,5.15,9.59,15.41,23.44,46.41,21.38,0.4188,"Sheridan County, Kansas",1969,6299,8022,3173,37944,1803,2559,5270,5612,24487,74300,0.71,0.95,1.52,1.48,3.99,4.19,0.0414
"G2001810","2011-2015",,,"Kansas","20","Sherman County","181",,,,,,,,,,,,,,,,,,,,,,,,,,,"Sherman County, Kansas",18200,31320,48595,67475,104628,10883,23922,39234,53703,106671,173611,4.64,10.21,16.74,22.91,45.51,18.52,0.4052,"Sherman County, Kansas",5135,5577,5067,8819,11385,2358,4065,4858,3703,11758,38610,0.94,1.36,1.50,1.35,3.28,3.44,0.0390
"G2001830","2011-2015",,,"Kansas","20","Smith County","183",,,,,,,,,,,,,,,,,,,,,,,,,,,"Smith County, Kansas",17234,34750,53189,84700,146766,10540,24872,43625,67749,154081,290740,3.54,8.26,14.49,22.51,51.19,24.15,0.4773,"Smith County, Kansas",1860,2885,4134,8165,16884,1286,2168,2677,4946,27338,93937,0.56,1.05,1.41,1.91,4.53,5.90,0.0474
"G2001850","2011-2015",,,"Kansas","20","Stafford County","185",,,,,,,,,,,,,,,,,,,,,,,,,,,"Stafford County, Kansas",22910,38375,58972,86905,136521,12644,30481,48244,71419,139633,240147,4.18,10.08,15.95,23.62,46.17,19.85,0.4213,"Stafford County, Kansas",2381,2910,2793,6295,20019,1736,2654,4063,4421,15389,50005,0.47,0.79,1.07,1.22,2.72,3.12,0.0275
"G2001870","2011-2015",,,"Kansas","20","Stanton County","187",,,,,,,,,,,,,,,,,,,,,,,,,,,"Stanton County, Kansas",25441,40117,56154,91667,139821,15624,32853,45894,71204,126309,173312,5.35,11.26,15.72,24.39,43.27,14.84,0.3794,"Stanton County, Kansas",4787,4960,7400,11402,7029,3327,3838,5508,9986,14409,47017,1.07,1.03,1.15,1.98,3.24,3.73,0.0346
"G2001890","2011-2015",,,"Kansas","20","Stevens County","189",,,,,,,,,,,,,,,,,,,,,,,,,,,"Stevens County, Kansas",19480,45184,64868,96064,153885,9358,31677,56088,78570,165952,297815,2.74,9.27,16.42,23.00,48.57,21.79,0.4573,"Stevens County, Kansas",4003,6648,3256,6921,22889,3050,6249,4973,7107,32804,114070,0.86,1.63,1.75,2.13,5.01,6.36,0.0542
"G2001910","2011-2015",,,"Kansas","20","Sumner County","191",,,,,,,,,,,,,,,,,,,,,,,,,,,"Sumner County, Kansas",21453,39221,60721,91139,139495,12337,30518,49301,74912,138968,224149,4.03,9.97,16.11,24.48,45.41,18.31,0.4177,"Sumner County, Kansas",1663,1839,3077,3853,4053,1344,1686,2292,2918,8162,24184,0.42,0.48,0.57,0.68,1.46,1.53,0.0160
"G2001930","2011-2015",,,"Kansas","20","Thomas County","193",,,,,,,,,,,,,,,,,,,,,,,,,,,"Thomas County, Kansas",19872,36894,62918,94851,192906,9261,27373,48917,76111,161876,295184,2.86,8.46,15.12,23.52,50.03,22.81,0.4740,"Thomas County, Kansas",4538,4503,8316,8318,57471,2922,3878,5774,5872,24334,66507,0.85,1.12,1.49,1.72,3.77,3.73,0.0387
"G2001950","2011-2015",,,"Kansas","20","Trego County","195",,,,,,,,,,,,,,,,,,,,,,,,,,,"Trego County, Kansas",26725,45942,59298,88833,157821,17735,35761,53414,75049,138965,218234,5.53,11.14,16.64,23.39,43.30,17.00,0.3766,"Trego County, Kansas",1947,5541,6903,11560,49522,2025,3912,3243,7859,21783,53491,0.66,1.10,1.17,1.67,3.27,3.13,0.0330
"G2001970","2011-2015",,,"Kansas","20","Wabaunsee County","197",,,,,,,,,,,,,,,,,,,,,,,,,,,"Wabaunsee County, Kansas",26849,43822,64854,87804,139469,15960,34883,54549,75499,121473,168258,5.28,11.54,18.04,24.97,40.17,13.91,0.3536,"Wabaunsee County, Kansas",2882,3701,2716,5631,13024,1858,2357,3461,3681,8880,12000,0.53,0.59,0.67,0.74,1.37,0.57,0.0161
