GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,NAME_E,AD38E001,AD38E002,AD38E003,AD38E004,AD38E005,AD39E001,AD39E002,AD39E003,AD39E004,AD39E005,AD39E006,AD4AE001,AD4AE002,AD4AE003,AD4AE004,AD4AE005,AD4AE006,AD4BE001,NAME_M,AD38M001,AD38M002,AD38M003,AD38M004,AD38M005,AD39M001,AD39M002,AD39M003,AD39M004,AD39M005,AD39M006,AD4AM001,AD4AM002,AD4AM003,AD4AM004,AD4AM005,AD4AM006,AD4BM001
"G3101230","2011-2015",,,"Nebraska","31","Morrill County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,"Morrill County, Nebraska",23244,38942,54747,82770,136229,13290,30641,46424,66766,140323,259427,4.47,10.30,15.61,22.45,47.18,21.80,0.4252,"Morrill County, Nebraska",2189,2455,2638,4725,25605,2298,2899,2701,4826,19459,63029,0.76,0.93,1.04,1.44,3.11,3.81,0.0346
"G3101250","2011-2015",,,"Nebraska","31","Nance County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,"Nance County, Nebraska",19512,32669,55433,86000,154667,11048,25008,42489,69980,142136,240648,3.80,8.60,14.62,24.08,48.90,20.70,0.4549,"Nance County, Nebraska",2097,3510,5596,6966,34400,1501,2146,4556,5155,16917,47576,0.54,0.71,1.18,1.47,2.92,3.06,0.0287
"G3101270","2011-2015",,,"Nebraska","31","Nemaha County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,"Nemaha County, Nebraska",23355,40015,64372,102119,160042,13612,31385,50245,82968,154406,249809,4.09,9.44,15.11,24.94,46.42,18.78,0.4295,"Nemaha County, Nebraska",2830,3007,8733,5825,28294,1987,3090,4842,6785,14059,40620,0.53,0.70,1.02,1.33,2.41,2.33,0.0230
"G3101290","2011-2015",,,"Nebraska","31","Nuckolls County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,"Nuckolls County, Nebraska",20206,33204,52113,77974,129500,12865,26839,41132,63314,120400,201083,4.86,10.15,15.55,23.93,45.51,19.00,0.4097,"Nuckolls County, Nebraska",2189,2256,3489,5559,20962,1490,2223,3696,3788,13822,39141,0.58,0.82,1.06,1.13,2.78,2.73,0.0299
"G3101310","2011-2015",,,"Nebraska","31","Otoe County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,"Otoe County, Nebraska",22559,41387,61425,93163,140317,14236,32807,50968,76284,136808,213836,4.58,10.55,16.38,24.52,43.98,17.18,0.3977,"Otoe County, Nebraska",1964,1559,2335,3801,10868,1186,1839,2229,3436,10173,36283,0.36,0.59,0.64,0.84,1.84,2.35,0.0200
"G3101330","2011-2015",,,"Nebraska","31","Pawnee County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,"Pawnee County, Nebraska",16452,31652,51661,86885,179325,10406,22907,41199,67794,165100,285581,3.39,7.45,13.40,22.05,53.71,23.23,0.4987,"Pawnee County, Nebraska",1989,3070,4827,7143,20621,1096,2695,3870,6680,25702,68516,0.50,0.90,1.25,1.51,3.43,3.95,0.0346
"G3101350","2011-2015",,,"Nebraska","31","Perkins County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,"Perkins County, Nebraska",25872,48579,65776,96189,170708,15461,37970,56610,80968,150653,258778,4.53,11.11,16.57,23.70,44.09,18.94,0.3960,"Perkins County, Nebraska",4111,4955,4918,3134,73501,3044,4448,3498,6670,23589,58755,0.78,1.24,1.28,1.33,3.51,3.00,0.0373
"G3101370","2011-2015",,,"Nebraska","31","Phelps County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,"Phelps County, Nebraska",23921,39529,60793,91101,144333,14911,31872,50039,75565,152236,278640,4.59,9.82,15.41,23.28,46.90,21.46,0.4267,"Phelps County, Nebraska",2111,2948,4115,4423,13511,1873,2129,3067,3754,19501,67926,0.52,0.67,1.13,1.60,3.11,3.95,0.0302
"G3101390","2011-2015",,,"Nebraska","31","Pierce County","139",,,,,,,,,,,,,,,,,,,,,,,,,,,"Pierce County, Nebraska",27425,44805,65061,94844,139250,15949,35569,55001,77365,138408,217006,4.95,11.04,17.07,24.00,42.94,16.83,0.3816,"Pierce County, Nebraska",2542,3519,2394,5948,5245,1704,2393,2859,3375,8302,26491,0.47,0.56,0.71,0.78,1.60,1.68,0.0178
"G3101410","2011-2015",,,"Nebraska","31","Platte County","141",,,,,,,,,,,,,,,,,,,,,,,,,,,"Platte County, Nebraska",24745,45800,66267,92451,154638,14242,35031,55995,78323,141459,222232,4.38,10.78,17.23,24.10,43.52,17.09,0.3925,"Platte County, Nebraska",2661,2459,2174,3825,12377,1521,2105,2007,2508,7027,18307,0.43,0.54,0.50,0.57,1.33,1.19,0.0159
