"","state_index","form","RSS","AIC","AIC_c","lambda","par_1","par_2","par_3","par_4","par_5","STATE"
"167",10,"GB1",0.00911176458952587,-266.902742879242,-265.690621667121,1020.37324601214,31721.1049770452,66133.636120489,0.0044717653297631,NA,NA,"Georgia"
"168",10,"GB2",0.000933715128326302,-296.048948244279,-294.836827032158,2294.86887001507,0.280739171953655,0.455346013781248,4.08437859275742,NA,NA,"Georgia"
"169",10,"SARABIA",0.00105852820079734,-289.591982074306,-287.716982074306,2030.3006331362,0.000100178818180531,1.61773721719259,0.437441990250934,0.358943401924756,NA,"Georgia"
"170",10,"WANG",0.000863877014041034,-290.110102692979,-287.400425273624,2180.33026625278,0.903660807847138,0.685798097626419,0.999999767121967,0.412408332328872,1.803459412819,"Georgia"
"171",11,"KAKWANI_PODDER",0.0617203192603191,-226.8018808529,-226.459023710043,302.393216858693,1.93541144046119,NA,NA,NA,NA,"Hawaii"
"172",11,"RASCHE",0.0028814773667806,-292.876440789614,-292.170558436673,2225.89166095544,0.606511130085388,0.646346267437363,NA,NA,NA,"Hawaii"
"173",11,"ORTEGA",0.00147349484008975,-301.981065864991,-301.27518351205,2893.80481058258,0.641237543937507,0.510896579238958,NA,NA,NA,"Hawaii"
"174",11,"CHOTIKAPANICH",0.0511727610301057,-227.58844194769,-227.245584804833,311.777471899304,2.90831005261023,NA,NA,NA,NA,"Hawaii"
"175",11,"ABDALLA_HASSAN",0.00115790044518808,-299.855403305428,-298.643282093307,2871.31628263403,0.632329224380304,2.33786623168134e-08,0.513286117003331,NA,NA,"Hawaii"
"176",11,"RHODE",0.0201065998485173,-232.878062795242,-232.535205652385,376.172108338373,1.31001102824621,NA,NA,NA,NA,"Hawaii"
"177",11,"PARETO",0.0955020585395839,-226.751387919357,-226.4085307765,311.934329142127,1.77770240849521,NA,NA,NA,NA,"Hawaii"
"178",11,"LOGNORMAL",0.00594424808875273,-277.518909713654,-277.176052570797,1353.3166014738,0.896366189055291,NA,NA,NA,NA,"Hawaii"
"179",11,"GAMMA",0.0216645727273285,-252.932968125364,-252.590110982507,640.013237151773,1.2937756716354,NA,NA,NA,NA,"Hawaii"
"180",11,"WEIBULL",0.022092558870489,-250.034711658061,-249.691854515203,598.238013098184,1.12385356432791,NA,NA,NA,NA,"Hawaii"
"181",11,"GENERALIZED_GAMMA",0.00596168632647013,-275.39774626253,-274.691863909589,1349.0026644249,29302.979455847,0.00650833496343323,NA,NA,NA,"Hawaii"
"182",11,"DAGUM",0.00183291389878363,-299.584470961468,-298.878588608527,2698.60227762014,0.620689374091491,2.34848869750326,NA,NA,NA,"Hawaii"
"183",11,"SINGH_MADDALA",0.00272588653422533,-294.489015825315,-293.783133472374,2330.72902547965,1.29967877551572,1.84459409264035,NA,NA,NA,"Hawaii"
"184",11,"GB1",0.00598075614009861,-273.267636586844,-272.055515374723,1343.91412311911,17859.7149839663,38166.6917790132,0.00687099333180247,NA,NA,"Hawaii"
"185",11,"GB2",0.000478291108640093,-307.916727732907,-306.704606520786,3604.49159145944,0.13519468258383,0.258070375862273,8.13589507825724,NA,NA,"Hawaii"
"186",11,"SARABIA",0.000397028781414632,-302.805602724129,-300.930602724129,3305.46489039095,0.000100962758860081,1.72700454355589,0.291840215402558,0.349798502500578,NA,"Hawaii"
"187",11,"WANG",0.000344752122999614,-302.785453537559,-300.075776118204,3497.88935991585,0.654568165842999,0.722523202530643,0.99999996733429,0.405896978056627,1.83793062271618,"Hawaii"
"188",12,"KAKWANI_PODDER",0.0882530171781595,-222.657144671748,-222.314287528891,259.777413468502,1.94915119627343,NA,NA,NA,NA,"Idaho"
"189",12,"RASCHE",0.00240282763244643,-301.226990736555,-300.521108383614,2781.91777462095,0.570442289219403,0.669088254652974,NA,NA,NA,"Idaho"
"190",12,"ORTEGA",0.00101700535127235,-311.080452097405,-310.374569744464,3691.80423058762,0.594156336770873,0.481567210427394,NA,NA,NA,"Idaho"
"191",12,"CHOTIKAPANICH",0.0734626353369647,-223.866688913948,-223.523831771091,271.31384804827,2.93311936376064,NA,NA,NA,NA,"Idaho"
"192",12,"ABDALLA_HASSAN",0.000826125862965165,-308.826469949974,-307.614348737853,3643.96863139814,0.584535027799358,2.69001247966409e-09,0.484841635925362,NA,NA,"Idaho"
"193",12,"RHODE",0.0234221290049766,-232.154537738007,-231.81168059515,360.587265463874,1.29199655646223,NA,NA,NA,NA,"Idaho"
