"","county_index","form","RSS","AIC","AIC_c","lambda","par_1","par_2","COUNTY","AIC_c_diff"
"4538",2269,"LOGNORMAL",0.00232715888597753,-136.936005996472,-136.304427049104,970.620727707292,1.0092398773873,NA,"Chesterfield County, South Carolina",4.73951813409701
"4539",2270,"ORTEGA",0.00102838166469522,-157.552247766233,-156.352247766233,1058.50320126691,0.566156371888161,0.455339129299234,"Lexington County, South Carolina",18.718791928163
"4540",2270,"LOGNORMAL",0.00643981381730772,-138.204884409499,-137.63345583807,390.823898926316,0.953389889578648,NA,"Lexington County, South Carolina",18.718791928163
"4541",2271,"ORTEGA",0.000412036112857783,-150.378371696355,-149.045038363022,2811.04106616871,0.887388287900637,0.504075152156126,"Williamsburg County, South Carolina",6.28773355402001
"4542",2271,"LOGNORMAL",0.00153854016896214,-143.38888375637,-142.757304809002,1737.03947369839,1.00212891416876,NA,"Williamsburg County, South Carolina",6.28773355402001
"4543",2272,"ORTEGA",0.000526814119982569,-148.649634153895,-147.386476259158,1412.62321688478,0.651349248569321,0.436905089342587,"Colleton County, South Carolina",16.656592279751
"4544",2272,"LOGNORMAL",0.00602254118055799,-131.329883979407,-130.729883979407,557.631585503891,1.0414977130191,NA,"Colleton County, South Carolina",16.656592279751
"4545",2273,"ORTEGA",0.00109641986395351,-138.465500431968,-137.132167098635,1509.33177286212,0.806617614627601,0.481653105070422,"Clarendon County, South Carolina",3.11709662983699
"4546",2273,"LOGNORMAL",0.00256822530534664,-134.646649416166,-134.015070468798,1130.08397186481,1.0224583663687,NA,"Clarendon County, South Carolina",3.11709662983699
"4547",2274,"ORTEGA",0.000430467544837377,-172.693719229377,-171.493719229377,3025.51341922795,0.685919583050045,0.461545629978443,"York County, South Carolina",25.526202208468
"4548",2274,"LOGNORMAL",0.0042092369875393,-146.538945592338,-145.967517020909,776.680000517076,1.00159235646956,NA,"York County, South Carolina",25.526202208468
"4549",2275,"ORTEGA",0.001322573234792,-139.128974308109,-137.928974308109,435.416502379146,0.526208356215333,0.495291089789008,"Berkeley County, South Carolina",8.59374009169699
"4550",2275,"LOGNORMAL",0.00574125166573933,-129.90666278784,-129.335234216412,258.47073179739,0.856599875700343,NA,"Berkeley County, South Carolina",8.59374009169699
"4551",2276,"ORTEGA",0.000983626648924783,-158.283591786818,-157.020433892081,2139.30825805898,0.73805686316116,0.428300828724527,"Calhoun County, South Carolina",26.518948394064
"4552",2276,"LOGNORMAL",0.00678233574254027,-131.101485498017,-130.501485498017,510.28745361476,1.0672078006935,NA,"Calhoun County, South Carolina",26.518948394064
"4553",2277,"ORTEGA",0.000917735274373684,-156.475964332531,-155.212806437794,2300.52664207432,0.612031118622207,0.426589627564867,"Spartanburg County, South Carolina",31.603492224151
"4554",2277,"LOGNORMAL",0.00754993879589668,-124.209314213643,-123.609314213643,426.610089915039,1.0209692054597,NA,"Spartanburg County, South Carolina",31.603492224151
"4555",2278,"ORTEGA",0.00232138223884473,-98.6282056242502,-97.2948722909169,170.02739715993,0.738442421564806,0.401905960835184,"Allendale County, South Carolina",3.7074916625356
"4556",2278,"LOGNORMAL",0.0132833827453796,-94.2189595757498,-93.5873806283813,126.12813098297,1.11572236525186,NA,"Allendale County, South Carolina",3.7074916625356
"4557",2279,"ORTEGA",0.00090150852148399,-169.181618253,-168.038761110143,1325.77071999902,0.638636743369094,0.335977855843353,"Charleston County, South Carolina",35.567314903349
"4558",2279,"LOGNORMAL",0.0191655380115808,-133.016900752249,-132.471446206794,256.825570592308,1.22174319033301,NA,"Charleston County, South Carolina",35.567314903349
"4559",2280,"ORTEGA",0.000668473657626018,-134.841885888811,-133.508552555477,1295.54958388502,0.800782940266532,0.452873946924807,"Orangeburg County, South Carolina",11.86669902916
"4560",2280,"LOGNORMAL",0.00503109724687402,-122.273432473686,-121.641853526317,603.797743757264,1.05644718266297,NA,"Orangeburg County, South Carolina",11.86669902916
"4561",2281,"ORTEGA",0.00204470708182771,-122.248881447903,-120.91554811457,641.582180275473,0.822997447572876,0.436713095773098,"Bamberg County, South Carolina",1.300508221703
"4562",2281,"LOGNORMAL",0.00383459205820681,-120.246618840235,-119.615039892867,541.391243374795,1.11019257308587,NA,"Bamberg County, South Carolina",1.300508221703
"4563",2282,"ORTEGA",0.000510501841233048,-157.924721418862,-156.661563524125,2573.06221137264,0.663356829780827,0.415204469833512,"Florence County, South Carolina",30.296768960086
"4564",2282,"LOGNORMAL",0.0079387301967993,-126.964794564039,-126.364794564039,491.248242409266,1.07655680378381,NA,"Florence County, South Carolina",30.296768960086
"4565",2283,"ORTEGA",0.000550841391603307,-159.319137098664,-158.055979203927,2530.05390190788,0.637016428715091,0.468299724346623,"Laurens County, South Carolina",22.330570384122
"4566",2283,"LOGNORMAL",0.00575883828802824,-136.325408819805,-135.725408819805,735.234791250309,0.976408294652256,NA,"Laurens County, South Carolina",22.330570384122
"4567",2284,"ORTEGA",0.000937652011708767,-170.231401471059,-169.088544328202,1367.29979329988,0.523892715784096,0.352911327175927,"Beaufort County, South Carolina",36.928968298624
"4568",2284,"LOGNORMAL",0.0215899419006973,-132.705030575033,-132.159576029578,254.1956028134,1.14600024181498,NA,"Beaufort County, South Carolina",36.928968298624
"4569",2285,"ORTEGA",0.000662769795891893,-140.224972816705,-138.961814921968,991.293500533113,0.753451776702773,0.418307074461393,"Fairfield County, South Carolina",15.671386869921
"4570",2285,"LOGNORMAL",0.00704690865512358,-123.890428052047,-123.290428052047,402.2185609883,1.09504639619701,NA,"Fairfield County, South Carolina",15.671386869921
