"","COUNTY","par_1","par_2"
"38","Lamar County, Alabama",0.775750088696045,0.555404155131223
"39","Washington County, Alabama",0.637403268937854,0.499424960385061
"40","Dale County, Alabama",0.833105174124157,0.560324396610126
"41","Coosa County, Alabama",0.682857671082203,0.487436479049576
"42","Russell County, Alabama",0.757143950003299,0.538873717394113
"43","Macon County, Alabama",0.914618557821431,0.505956098784782
"44","Marengo County, Alabama",0.993129429471287,0.463516976974287
"45","Lee County, Alabama",0.860952873625845,0.453292125499937
"46","Calhoun County, Alabama",0.730541861348437,0.499064313007358
"47","Marion County, Alabama",0.753453339588195,0.468638634548223
"48","Winston County, Alabama",0.674377083157993,0.448671771097983
"49","Mobile County, Alabama",0.669671662743374,0.418247048209028
"50","Covington County, Alabama",0.689835476627039,0.449513033573165
"51","Geneva County, Alabama",0.695706979868778,0.484870802906653
"52","St Clair County, Alabama",0.696899117952999,0.568925205801184
"53","Montgomery County, Alabama",0.714544979873715,0.4082460643931
"54","Baldwin County, Alabama",0.623509605150467,0.445708655012064
"55","Chambers County, Alabama",0.743639968746898,0.535890320126609
"56","Talladega County, Alabama",0.76802077845514,0.498843566283638
"57","Greene County, Alabama",0.858542379316158,0.476939582444556
"58","Choctaw County, Alabama",0.957086522370844,0.514380698694934
"59","Elmore County, Alabama",0.652322416348669,0.566755261428678
"60","Pike County, Alabama",0.820850017773349,0.426743447344661
"61","Lowndes County, Alabama",0.987569569455704,0.513420461720243
"62","Blount County, Alabama",0.607789756722035,0.516231782329803
"63","Perry County, Alabama",1.0495785020292,0.566987751022801
"64","Coffee County, Alabama",0.735969765905098,0.503022341441849
"65","Autauga County, Alabama",0.690595562528178,0.588096547761231
"66","Clay County, Alabama",0.69412149474975,0.511690148339382
"67","Jefferson County, Alabama",0.668361944979792,0.35620936944781
"68","Monroe County, Alabama",1.13955841689604,0.503925209231294
"69","Dallas County, Alabama",0.951880023279784,0.430603056802895
"70","Barbour County, Alabama",0.730164840178357,0.426448592046924
"71","Crenshaw County, Alabama",0.786051579645122,0.504922643390523
"72","Butler County, Alabama",0.714649179708759,0.456850783520685
"73","Lawrence County, Alabama",0.777599424586264,0.556249992240223
"74","Madison County, Alabama",0.745206925053532,0.48774536007032
"75","Limestone County, Alabama",0.767496598845933,0.52435693080564
"76","Wilcox County, Alabama",1.12933577958146,0.529762646618246
"77","Bibb County, Alabama",0.536351036774876,0.466133294877274
"78","Cleburne County, Alabama",0.781216101405191,0.551467152917293
"79","Cullman County, Alabama",0.653788862210738,0.451210271799706
"80","Walker County, Alabama",0.576519171312968,0.384036230672081
"81","Fayette County, Alabama",0.863365642319761,0.545483272337647
"82","Conecuh County, Alabama",0.823055815825867,0.439563556387864
"83","Henry County, Alabama",0.800111699316159,0.50195399860896
"84","Jackson County, Alabama",0.681072051935559,0.479557048658742
"85","Marshall County, Alabama",0.672400096952668,0.458253922872891
"86","Morgan County, Alabama",0.674321079936852,0.4892151880341
"87","DeKalb County, Alabama",0.65703006170109,0.484963612924271
"88","Bullock County, Alabama",0.837667174181668,0.514377138211438
"89","Clarke County, Alabama",1.00500178622683,0.450576584490739
"90","Desha County, Arkansas",0.850636568452855,0.460498883092415
"91","Calhoun County, Arkansas",0.769019495951769,0.503176528435356
"92","Greene County, Arkansas",0.623939640695996,0.471840777673281
"93","Lonoke County, Arkansas",0.606123808182052,0.563012223070937
"94","Van Buren County, Arkansas",0.805439230855585,0.514797447823363
"95","Little River County, Arkansas",0.729431336115243,0.548520707179514
"96","Arkansas County, Arkansas",0.585189668724427,0.392750990396298
"97","Marion County, Arkansas",0.655792749159612,0.509264496569355
"98","Randolph County, Arkansas",0.639310262646036,0.447914611637224
"99","Fulton County, Arkansas",0.624099374619085,0.49129880305563
"100","Cross County, Arkansas",0.695459876549875,0.492185687249331
"101","Columbia County, Arkansas",0.822440118663191,0.41450532695633
"102","Izard County, Arkansas",0.723453847280651,0.489685974541358
"103","Cleburne County, Arkansas",0.547456941957255,0.427969561255182
"104","Newton County, Arkansas",0.705589569020545,0.47504678085084
"105","Pope County, Arkansas",0.626072066796439,0.460570093880734
"106","Woodruff County, Arkansas",0.796489567878991,0.426261472384499
"107","Faulkner County, Arkansas",0.668936440867516,0.505884439144371
"108","Benton County, Arkansas",0.360489868188668,0.270014219891466
"109","Union County, Arkansas",0.59698129277192,0.363249909674055
"110","Jefferson County, Arkansas",0.829438071794949,0.507971230613365
"111","Yell County, Arkansas",0.643593110876985,0.481250430268118
"112","Howard County, Arkansas",0.719155564839258,0.491473767009448
"113","Logan County, Arkansas",0.661546722847258,0.482862128167404
"114","St Francis County, Arkansas",0.723427860307414,0.47450395076626
"115","Ouachita County, Arkansas",0.799076009421964,0.469688346017139
"116","Clay County, Arkansas",0.653690546819809,0.447897635852008
"117","Lawrence County, Arkansas",0.666376839287788,0.477351456091446
"118","Searcy County, Arkansas",0.718377929304153,0.457434279383634
"119","Hempstead County, Arkansas",0.777661392332294,0.538793086613188
"120","Grant County, Arkansas",0.65562541937082,0.54803977494713
"121","Sevier County, Arkansas",0.646458637632631,0.532165707790126
"122","Independence County, Arkansas",0.545255649277386,0.397758553825368
"123","Johnson County, Arkansas",0.669024231256,0.487688510723229
"124","Clark County, Arkansas",0.845583336845129,0.506656502032029
"125","Perry County, Arkansas",0.676372240493344,0.54131575171314
"126","Ashley County, Arkansas",0.657136930857183,0.428992584972286
"127","Crawford County, Arkansas",0.612616656592958,0.509011721227744
"128","Lafayette County, Arkansas",0.820572490887151,0.478801600329887
"129","Polk County, Arkansas",0.619847612266433,0.469020572508182
"130","Monroe County, Arkansas",0.888263833217794,0.470117201174239
"131","Lee County, Arkansas",0.734540444915151,0.336679935212396
"132","Cleveland County, Arkansas",0.693656777047374,0.512755743804551
"133","Poinsett County, Arkansas",0.657170368615518,0.460508309372285
"134","White County, Arkansas",0.70826641880261,0.477501278604769
"135","Dallas County, Arkansas",0.638332703532621,0.491968501815259
"136","Saline County, Arkansas",0.564242781569949,0.569075939847916
"137","Sebastian County, Arkansas",0.605147079451861,0.382030599358631
"138","Boone County, Arkansas",0.585780284431199,0.451986218718828
"139","Lincoln County, Arkansas",0.876750237756083,0.518177379011326
"140","Chicot County, Arkansas",0.882089698784662,0.426039499669386
"141","Garland County, Arkansas",0.669479564173988,0.421079257600593
"142","Pike County, Arkansas",0.687605778644065,0.501289352395284
"143","Madison County, Arkansas",0.656774463963549,0.502770622090213
"144","Sharp County, Arkansas",0.586332707616687,0.490162602364755
