"","STATE","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36"
"11","Hawaii",0,0.0202691787237326,0.0268096751979851,0.033887859888079,0.0432148116474547,0.0524279447128265,0.0625720378718784,0.0735955690370485,0.0853692529238708,0.0984695252211158,0.111699487267667,0.124476082637834,0.141311509148534,0.157990285920174,0.175181651728572,0.192732199667743,0.212100654155673,0.231758838606086,0.251590953389703,0.271682947662646,0.296766312132841,0.322083423847741,0.349338513819732,0.377096174781346,0.405123187429554,0.433535395373797,0.462355529135158,0.491211636322975,0.529497776055879,0.568855419579349,0.610953632371772,0.654859835548374,0.699387825711474,0.742888712402022,0.830084555359246,1
"12","Idaho",0,0.0220273485591519,0.0287675511270047,0.0359676008876873,0.0447124382977027,0.0538072152709301,0.0637889871422165,0.0744554929462918,0.0857719579570421,0.097905405596548,0.110735478646179,0.124012625205764,0.139070837021724,0.154539887940892,0.171152959789007,0.188256609451633,0.206096160477267,0.225205189359637,0.244706756308343,0.264553409372973,0.288289264688761,0.312739603052878,0.338167134229813,0.364578846101444,0.39166024965582,0.419684777895039,0.448311996884103,0.476836924777506,0.51482442762139,0.55320182874056,0.593405902916916,0.635168022777056,0.680420564504506,0.725704570255785,0.815527596698452,1
"13","Illinois",0,0.0169378530896099,0.0223075403924157,0.0278057679484293,0.0350530968740083,0.0426725588289153,0.0508063559098971,0.0597022205473547,0.0693085482926588,0.0796830602717708,0.0904418185338714,0.101290324989806,0.11490716468361,0.128485810805265,0.142920382375043,0.158291495098561,0.174150376371957,0.190924036359612,0.208096516722856,0.225321287423627,0.247152264257445,0.269715558857301,0.292844275299956,0.316517152558512,0.340769007035251,0.365872930895348,0.392244004740336,0.418529335393106,0.453840639740999,0.489346509211149,0.525828712297893,0.567149946218084,0.610340982139097,0.652431956346068,0.757450928022881,1
"14","Indiana",0,0.0212936776937701,0.0277158638429712,0.0345540998486393,0.0433059940341137,0.0523599897374543,0.0620236717350001,0.0724871266161864,0.0837061986808549,0.0956253516463171,0.108160747241016,0.120829714438079,0.136369919458419,0.151857191597314,0.168070376758288,0.185284775823191,0.203294746283789,0.222146519055572,0.241427212012009,0.260835984559887,0.284861467344939,0.309219552889329,0.334374878768266,0.360210868409674,0.387169147393061,0.415141916828956,0.444027796776955,0.472809779162314,0.510746938144355,0.548927101528154,0.588826269077671,0.630484021639212,0.675855982411121,0.719803220318116,0.811651380490561,1
"15","Iowa",0,0.0223241373012064,0.029180036871402,0.0364746336443189,0.045322014308397,0.0546263015369076,0.0647324071845893,0.0756085005586179,0.087271588397198,0.0998814822698998,0.112981280957996,0.126587276982792,0.142607307426831,0.158866209239062,0.175950759867988,0.193773499927983,0.212788484632396,0.232539806783326,0.252768165618727,0.273156730921789,0.298530388052701,0.324247220376148,0.350615032918085,0.377723457904821,0.405313117741505,0.433681953856859,0.46318260019329,0.49290109218959,0.531382407526071,0.57028033141367,0.611048820935957,0.653513962786452,0.699270574949334,0.745351017767993,0.831375506296109,1
"16","Kansas",0,0.0215314554943684,0.0280447532677101,0.0350449071869826,0.0435796486738429,0.0526443451407696,0.0622735287647,0.0726236878586313,0.0838965912875595,0.0957953230682015,0.108337001983086,0.12120851584699,0.136309118973993,0.151603768923718,0.167702922002659,0.1845839755764,0.202978245355319,0.221759571383315,0.24083479272736,0.260077805850007,0.28380252414098,0.308030785145991,0.332659917622281,0.358466720774768,0.38569843406645,0.413535241354516,0.442168831620794,0.470683638059745,0.508551800341897,0.546690827027143,0.585671659166374,0.626448026988495,0.671047400947697,0.715499032558567,0.805524430789812,1
"17","Kentucky",0,0.0183957543539877,0.0241866553689371,0.0307575709633999,0.0380459999669557,0.0459725608797791,0.0547510222395253,0.0642587360078974,0.0745508997364112,0.0856349000115943,0.097379534686885,0.109901462449043,0.123856843564372,0.13818745763258,0.153552727410612,0.169826990621594,0.187248964408759,0.205516923191287,0.224542456865405,0.243941987904272,0.266710955328992,0.290203570618097,0.314716931897318,0.340636957240725,0.367984742539741,0.396387999481191,0.425682644112765,0.455129465377769,0.493126052633443,0.53169957233441,0.571639462118108,0.61489499605489,0.661703197205012,0.710042430032785,0.809917660557919,1
"18","Louisiana",0,0.015785697644022,0.0207700235645004,0.0263515671513016,0.0330553969972514,0.0401040971478851,0.0478780582920335,0.0562914085448657,0.0653971813963278,0.0753134894583705,0.0858114143984876,0.0967237047535272,0.109662887336835,0.123059665259419,0.137086490427192,0.152136233305252,0.168221983064231,0.185255626911565,0.202941248576397,0.220552726493545,0.242851810978008,0.26538653309717,0.288979970909375,0.314149551268762,0.340499879251566,0.368033127985061,0.396434345785492,0.424830154997948,0.462996896079298,0.501175353276565,0.540623818647522,0.58411378124151,0.631263869124836,0.678921841200484,0.778587590072864,1
"19","Maine",0,0.0205453732878148,0.0270236763365353,0.0341870413056586,0.0418811219037062,0.0503213219245749,0.0596046545858635,0.0696491085479805,0.0805093218575226,0.0921228974982028,0.104581549761304,0.117701545645636,0.13190345984487,0.147344181511917,0.163302104014676,0.180037163250654,0.198243074365985,0.217462886893891,0.237202633223066,0.257222970384287,0.281186423744748,0.30592499227775,0.331280125160027,0.357153779715074,0.383785598771195,0.412181488740697,0.441590494474583,0.471209682252333,0.50857129614537,0.546641249406873,0.586345017729641,0.628752635145525,0.674741521167291,0.72132956133595,0.819504280990776,1
"20","Maryland",0,0.0208312010389384,0.0275176361203572,0.0344990126521553,0.0431420543121325,0.0522799514875157,0.0621120444070139,0.0727890262054589,0.0842778074182537,0.0965957585397479,0.109166277967206,0.121961228557406,0.137706835055872,0.153800352888592,0.170617200030666,0.18778754763105,0.205858099377812,0.22438584479756,0.243531193267162,0.262972501770642,0.28691537082638,0.311043386438886,0.336044360693782,0.3621187654083,0.389624533390488,0.417821877275244,0.446366600159351,0.474783082699321,0.51287224483705,0.551892040967319,0.592486810207746,0.634559694659341,0.67811833304075,0.721664039016031,0.816519088072145,1
"21","Massachusetts",0,0.0144627404070753,0.0190902642729202,0.0238441674875369,0.0301033954332518,0.0367805785934073,0.0439368587313743,0.051984543258227,0.0607760229562477,0.0701996791838396,0.0802388240588519,0.0904977423527829,0.103112716337663,0.115976581880746,0.130059978225254,0.144650332673936,0.159728855932865,0.175298888233067,0.19143198537169,0.208069786035256,0.228928005563476,0.249904213477458,0.271466345974217,0.294497312634419,0.318068376769436,0.342456772029228,0.367904543161556,0.393366787776192,0.4268485309301,0.460697701404963,0.496770140881366,0.535755848300871,0.576112325238553,0.617272050200787,0.728370530185362,1
"22","Michigan",0,0.0180542596056902,0.0237247460776113,0.0297844885340632,0.0372904206597515,0.045179469645464,0.0536804125036796,0.0629601452440989,0.0728623049037234,0.0835975690955296,0.0949015465312674,0.106377794241258,0.120097332076338,0.134111667034389,0.14898300855633,0.164648382642442,0.180959953662348,0.198101026056566,0.216049972592302,0.234101017792207,0.256050569418451,0.278233616954741,0.301885279422622,0.326685770372924,0.35213547369114,0.378364256674224,0.405384257519822,0.432486569194288,0.468077209820379,0.50425156452792,0.54221014238511,0.582262442294789,0.625532105550087,0.66897972153981,0.774657535823994,1
"23","Minnesota",0,0.0204674463575287,0.0268096716052038,0.0336897405952997,0.0417663701279853,0.0504613711868143,0.0598325380060733,0.0699873298024021,0.0809459345299817,0.0926253495168277,0.104971701493123,0.117557343500957,0.132371694286662,0.147559835662527,0.16370840938147,0.180449128219421,0.197851353657703,0.216019601747246,0.234709810705986,0.253673514076325,0.276708433715252,0.300212240581246,0.32424544313638,0.349450584037258,0.37579752628631,0.402596348165377,0.429840987788746,0.457037439897023,0.492946732969958,0.529110998135317,0.567501283563021,0.607101582552166,0.64988623227103,0.69297771272115,0.792127173005767,1
"24","Mississippi",0,0.0179292267685325,0.0232658444426811,0.0293519541538666,0.0367485158708433,0.044497923863111,0.0528795852940304,0.062084915596649,0.0720584468421812,0.0825924177207785,0.0938642160818281,0.10555255481307,0.119487499922266,0.133629404011495,0.148364831031003,0.16422110186838,0.180871737567997,0.198637673836485,0.217062846044899,0.235679736371432,0.25836457549286,0.281665652362015,0.306012365030726,0.331441580401256,0.358493409796452,0.386513725811902,0.415399841935124,0.444784160737741,0.482865240397414,0.521659133868058,0.56237943353567,0.606130099517799,0.653129673255086,0.700640964148475,0.804195352007092,1
"25","Missouri",0,0.0199935555391661,0.0262832027172022,0.0329854228364165,0.0409998331065044,0.0495329492544376,0.058658580532514,0.0685790239636357,0.0792182166349414,0.0906390317907769,0.102600963101926,0.114884429758032,0.129342812265171,0.14425447282046,0.159646408465696,0.175811287051013,0.193102651464479,0.211238343639282,0.229934727975697,0.248736527576831,0.27211064640829,0.295479651880165,0.319335552851279,0.344298566916984,0.370716566436309,0.398387480106682,0.426567641342861,0.454584098527121,0.491985909237989,0.529212282973976,0.568144809955176,0.610464823383283,0.655358871178603,0.700057528528626,0.796590850465099,1
"26","Montana",0,0.0203854766937058,0.0266525567335388,0.0334870995004736,0.0414430359885391,0.0498492836353809,0.0588785590173774,0.0687809742840828,0.0792321371158264,0.0906331582546506,0.102539312046278,0.114925776640278,0.129126439357,0.143762640487789,0.159264901919394,0.175596766421787,0.192718208197203,0.210787161741729,0.229664087027689,0.248701546041109,0.271558179392666,0.294766279036451,0.319421911324102,0.345137514256374,0.371491915384892,0.398724742016453,0.426766048188614,0.454332736486102,0.491766917621787,0.529381002427472,0.568462440073916,0.610233757959862,0.655161947630972,0.699775186462731,0.797770569829699,1
"27","Nebraska",0,0.0225401355567634,0.02925096066666,0.0367122506409309,0.0453947911138023,0.0546911602007911,0.0645614808534828,0.0754229156652475,0.0869153876807216,0.0993651893551106,0.112427363302554,0.125826088355402,0.141520983766788,0.157436229556278,0.174405205489923,0.192338324507282,0.210891986488254,0.23012970602042,0.250150626194104,0.27047704621913,0.294894984678946,0.320098995246468,0.346490665432216,0.373716308583673,0.401728455155906,0.430344637413545,0.459622499564158,0.488868027033343,0.52741951501515,0.566019889892287,0.606575536506712,0.649188583574523,0.69500799647647,0.741488760524292,0.824377894550617,1
"28","Nevada",0,0.0167168832621333,0.0217177256695748,0.0270994357470189,0.0342599242446435,0.0415419045264252,0.0490260539579234,0.0575753013198866,0.0662698875041818,0.0758872879598756,0.0858722310318523,0.0955496190760126,0.107858289023951,0.120356527919843,0.133030596275748,0.147016803452172,0.161512780297173,0.176176989974161,0.19111864406185,0.206260259483422,0.22526765132508,0.244373694966499,0.263934113214351,0.285442015928975,0.307672764740017,0.330029552565771,0.352428006131955,0.374633436779024,0.406872760962362,0.437026917229923,0.467763223872891,0.502379974983088,0.538878136251834,0.575626164210422,0.674137154861001,1
"29","New Hampshire",0,0.0212648427302738,0.0278212656511896,0.0346318661479939,0.0429105155956715,0.0516247554870756,0.0611605961919271,0.0714179369097956,0.0825381348285068,0.0941191045714205,0.106704293691746,0.119542529551909,0.134526889984267,0.150100511058546,0.166540485881912,0.183622962078273,0.201114210150537,0.219770383773671,0.238612115410499,0.257607175951224,0.281531280502702,0.30550003019626,0.330139733023966,0.355758869008023,0.38151442305264,0.408169891984938,0.435690407082026,0.463235265912608,0.499550915505767,0.536111426569633,0.575006899957128,0.615574642547528,0.658240691801034,0.701432551635076,0.797486075764775,1
