"","COUNTY","alpha","gamma","Gini"
"665","Cullman County, Alabama",0.653788862210738,0.548789728200294,0.513139147519887
"666","Culpeper County, Virginia",0.605297355015486,0.446415130471144,0.437359845750494
"667","Cumberland County, Illinois",0.612672461281171,0.468801212800587,0.452705800117962
"668","Cumberland County, Kentucky",0.687948803337555,0.525700661364475,0.502773960527549
"669","Cumberland County, Maine",0.615328760972817,0.587958412768,0.535816952764542
"670","Cumberland County, New Jersey",0.724983305377787,0.483072574661003,0.481506459048446
"671","Cumberland County, North Carolina",0.662380423196424,0.506257883572666,0.485664615537186
"672","Cumberland County, Pennsylvania",0.511929169624911,0.554678637574809,0.493830769797937
"673","Cumberland County, Tennessee",0.582305087966914,0.525204012766477,0.484718194843544
"674","Cumberland County, Virginia",0.722740297556255,0.469537237334825,0.472862491905899
"675","Cuming County, Nebraska",0.593432365558551,0.487262646579896,0.461037420305963
"676","Currituck County, North Carolina",0.58666344700435,0.427226046899146,0.422026404423034
"677","Curry County, New Mexico",0.751930296485501,0.49187078952099,0.491405047682117
"678","Curry County, Oregon",0.570047653737604,0.584688462400821,0.526312791259534
"679","Custer County, Colorado",0.269392589521449,0.825742373575326,0.730918527869338
"680","Custer County, Idaho",0.675050789481975,0.512613543142969,0.491971589976813
"681","Custer County, Montana",0.537457420166177,0.594157342953225,0.528562658514803
"682","Custer County, Nebraska",0.611911466608456,0.470705939570491,0.453770886800804
"683","Custer County, Oklahoma",0.625410723456943,0.5613647986123,0.517621243976354
"684","Custer County, South Dakota",0.549055016102879,0.516330307698436,0.472617378306125
"685","Cuyahoga County, Ohio",0.702091735789189,0.63247323042418,0.582548997963939
"686","Dade County, Georgia",0.623838032172159,0.550691440416389,0.509685269332832
"687","Dade County, Missouri",0.658957662913213,0.49327292780911,0.476641541163639
"688","Dakota County, Minnesota",0.53587012032561,0.517054331380036,0.47072727522911
"689","Dakota County, Nebraska",0.74206970982179,0.392262581015665,0.432443902869398
"690","Dale County, Alabama",0.833105174124157,0.439675603389874,0.4743002556436
"691","Dallam County, Texas",0.388424981718285,0.599239315558723,0.507914527683113
"692","Dallas County, Alabama",0.951880023279784,0.569396943197105,0.5692114747786
"693","Dallas County, Arkansas",0.638332703532621,0.508031498184741,0.48272515265837
"694","Dallas County, Iowa",0.537597040881646,0.540639488942016,0.487917274423057
"695","Dallas County, Missouri",0.597429727308937,0.482840387113417,0.458885285268305
"696","Dallas County, Texas",0.476640974283619,0.711985286944404,0.624246432381865
"697","Dane County, Wisconsin",0.51981729608445,0.577908887860095,0.512946676874029
"698","Daniels County, Montana",0.619408116070185,0.49909562943434,0.47350542638402
"699","Danville city, Virginia",0.636609311947316,0.622599986957678,0.56589931348119
"700","Dare County, North Carolina",0.479160178492339,0.544438782301524,0.48030195455167
"701","Darke County, Ohio",0.54578632611166,0.514121440228742,0.470482491415706
"702","Darlington County, South Carolina",0.717514267677982,0.604666356948836,0.563156755870454
"703","Dauphin County, Pennsylvania",0.610530405944629,0.535726648749612,0.496903683927592
"704","Davidson County, North Carolina",0.626221053444103,0.49469110726418,0.471817935626092
"705","Davidson County, Tennessee",0.517475391596127,0.668147741148403,0.588187439119014
"706","Davie County, North Carolina",0.577184516113939,0.588011471079827,0.529994369315575
"707","Daviess County, Indiana",0.517164510618535,0.536645326314471,0.481384490735041
"708","Daviess County, Kentucky",0.636316303702597,0.537221973936388,0.502225749423965
"709","Daviess County, Missouri",0.592221175436862,0.482121148650109,0.457454950929252
"710","Davis County, Iowa",0.64256590156867,0.41835252783479,0.427868747403285
"711","Davis County, Utah",0.459220037551632,0.511977424784398,0.452646671641234
"712","Davison County, South Dakota",0.491541813337781,0.578301433958536,0.508522231946532
"713","Dawes County, Nebraska",0.860999401035153,0.430811524269885,0.474100313138454
"714","Dawson County, Georgia",0.693136922373016,0.550503536897043,0.520495467430071
"715","Dawson County, Montana",0.632508058905539,0.468343387262596,0.456085441783703
"716","Dawson County, Nebraska",0.552474085667829,0.4548088768871,0.432258750991343
"717","Dawson County, Texas",0.665368477555838,0.599357105385069,0.551854024196467
"718","Day County, South Dakota",0.806647704175196,0.497567603764061,0.503630533046539
"719","De Soto Parish, Louisiana",0.878501724372909,0.535186294439211,0.537580279491185
"720","De Witt County, Illinois",0.565401721768611,0.520218158278851,0.478264255066079
"721","Deaf Smith County, Texas",0.626755237640883,0.498690623273646,0.474535530855446
