"","COUNTY","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"2580","Wood County, Texas",0,0.0743899402390438,0.130042330677291,0.188807270916335,0.2,0.258839641434263,0.3238296812749,0.381411852589641,0.4,0.43382719123506,0.49402390438247,0.544509462151394,0.6,0.630727091633466,0.744895418326693,0.8,0.849663844621514,0.911790338645418,0.94347609561753,0.95,0.99,1,NA
"2581","Gray County, Texas",0,0.0556363636363636,0.11369696969697,0.187636363636364,0.2,0.256727272727273,0.322424242424242,0.4,0.405939393939394,0.458181818181818,0.52,0.553939393939394,0.6,0.643272727272727,0.737090909090909,0.8,0.851272727272727,0.910181818181818,0.95,0.99,1,NA,NA
"2582","Kaufman County, Texas",0,0.0561014173584053,0.110537015077079,0.153114235699362,0.190919871251906,0.2,0.236264046530013,0.28654921226495,0.33372861256988,0.378705742842622,0.4,0.419447738438082,0.49791066689254,0.6,0.614546275904907,0.739708622734203,0.8,0.85710655598848,0.915184369529618,0.95,0.99,1,NA
"2583","Swisher County, Texas",0,0.0936777178103315,0.163068619892059,0.2,0.292212798766384,0.357363145720894,0.4,0.411333847340015,0.472629144178874,0.516576715497301,0.570161912104857,0.6,0.611025443330763,0.693523515805705,0.788743253662298,0.8,0.893215111796453,0.95,0.99,1,NA,NA,NA
"2584","Colorado County, Texas",0,0.082538853336816,0.1564581428758,0.188846806843411,0.2,0.277915632754342,0.315005876975317,0.370510643855296,0.4,0.435026772887554,0.480475382003396,0.543946715423795,0.6,0.614731618127204,0.71372600235079,0.8,0.806843411257673,0.893953245396369,0.926733707718428,0.95,0.99,1,NA
"2585","San Saba County, Texas",0,0.0884289746001881,0.172154280338664,0.2,0.239416745061148,0.311853245531515,0.376763875823142,0.4,0.431796801505174,0.522577610536218,0.587488240827846,0.6,0.636876763875823,0.704139228598307,0.8,0.828786453433678,0.913922859830668,0.95,0.99,1,NA,NA,NA
"2586","Lavaca County, Texas",0,0.0444098169068952,0.108817036748474,0.177509414361771,0.2,0.237241916634203,0.292819114400727,0.354888975457733,0.4,0.404363069731204,0.465523957927542,0.512920399948059,0.6,0.604466952343851,0.689780547980782,0.8,0.804440981690689,0.863264511102454,0.923516426438125,0.95,0.99,1,NA
"2587","Kleberg County, Texas",0,0.147533467815881,0.2,0.210709701081973,0.285255822483037,0.354483770401614,0.399596552356501,0.4,0.4600220062351,0.524298551256189,0.56015037593985,0.599028057949752,0.6,0.666238767650834,0.750871080139373,0.8,0.863194571795342,0.916651384558958,0.948927196038878,0.95,0.99,1,NA
"2588","Morris County, Texas",0,0.0997174000807428,0.165926524020993,0.2,0.23031893419459,0.285425918449738,0.368792894630602,0.4,0.441057731126363,0.505651998385143,0.557932983447719,0.6,0.611223253936213,0.697819943480016,0.77896649172386,0.8,0.859709325797335,0.93379087605975,0.938635446104158,0.95,0.99,1,NA
"2589","Real County, Texas",0,0.082516339869281,0.110294117647059,0.173202614379085,0.2,0.302287581699346,0.4,0.401960784313726,0.468137254901961,0.534313725490196,0.593137254901961,0.6,0.632352941176471,0.727124183006536,0.799019607843137,0.8,0.917483660130719,0.95,0.99,1,NA,NA,NA
"2590","Taylor County, Texas",0,0.0761581372786806,0.142048670062252,0.2,0.202461799660441,0.26099523001051,0.324581615328644,0.3880063060878,0.4,0.44324520979869,0.496624626081332,0.538200339558574,0.6,0.629840730859407,0.731829573934837,0.8,0.84000323389118,0.90597461395424,0.940132589538362,0.95,0.99,1,NA
"2591","Moore County, Texas",0,0.0577397359640215,0.0870448280864645,0.130277092702742,0.168431742347309,0.2,0.23864790367039,0.309444363847381,0.376759030900914,0.4,0.444508922094879,0.501378209778036,0.6,0.619759175975627,0.727259538662411,0.8,0.848687073843029,0.923545625997389,0.95,0.99,1,NA,NA
"2592","Lynn County, Texas",0,0.102833638025594,0.172760511882998,0.2,0.220292504570384,0.287477148080439,0.359689213893967,0.4,0.429616087751371,0.505027422303474,0.548446069469835,0.587751371115174,0.6,0.651736745886655,0.719378427787934,0.8,0.829067641681901,0.908592321755027,0.940585009140768,0.95,0.99,1,NA
"2593","Mitchell County, Texas",0,0.0399564111877951,0.0864511442063204,0.159099164547766,0.2,0.22012350163458,0.27787867780603,0.3316382128587,0.375590265165274,0.4,0.444969124591355,0.502361060661097,0.597529967308391,0.6,0.733745005448602,0.8,0.814384308027606,0.908100254268071,0.95,0.99,1,NA,NA
"2594","Carson County, Texas",0,0.0327082424771042,0.0527692978630615,0.107719145224597,0.167030091583079,0.2,0.211077191452246,0.267335368512865,0.301788050588748,0.320104666375927,0.350632359354557,0.4,0.468382032272133,0.563453990405582,0.6,0.759703445268208,0.8,0.849978194505015,0.919319668556476,0.95,0.99,1,NA
"2595","Freestone County, Texas",0,0.04941938968404,0.131920064812314,0.2,0.226573048879287,0.300972184715096,0.363219011612206,0.4,0.414123683499865,0.456656764785309,0.505401026194977,0.541047799081826,0.6,0.6177423710505,0.716851201728328,0.8,0.807453416149068,0.877801782338644,0.930056710775047,0.95,0.99,1,NA
"2596","Collin County, Texas",0,0.0359582378272684,0.058529822415941,0.0819286720923921,0.109153214072008,0.141772963145831,0.175883751271144,0.2,0.211462689690577,0.248555555918869,0.282251076589052,0.351234521477829,0.4,0.445248457461244,0.577990170913621,0.6,0.703028182599967,0.785120345816426,0.8,0.890225519656538,0.95,0.99,1
"2597","Falls County, Texas",0,0.125507567368032,0.2,0.205980066445183,0.27593207825766,0.351605758582503,0.4,0.424880029531192,0.488372093023256,0.539128829826504,0.583979328165375,0.6,0.622369878183832,0.716685123661868,0.8,0.80952380952381,0.900332225913621,0.942783314876338,0.95,0.99,1,NA,NA
"2598","Bowie County, Texas",0,0.0958322113514646,0.168985429195464,0.2,0.238129431828382,0.306256170900278,0.367351823594531,0.4,0.420399126350118,0.473625946204709,0.522783711815217,0.570116386919187,0.6,0.647757532238279,0.740029321126171,0.8,0.85315501301499,0.914460102324746,0.945636238518386,0.95,0.99,1,NA
"2599","Lampasas County, Texas",0,0.083944037308461,0.116189207195203,0.167888074616922,0.2,0.235043304463691,0.280879413724184,0.33217854763491,0.388274483677548,0.4,0.437308461025983,0.50566289140573,0.594403730846103,0.6,0.684077281812125,0.8,0.812125249833444,0.899000666222518,0.927381745502998,0.95,0.99,1,NA
"2600","Kerr County, Texas",0,0.0651703091159677,0.130143729080528,0.2,0.207570387871628,0.27259303012404,0.33579444772593,0.396288639495964,0.4,0.462049616066155,0.510189013585351,0.552717070289427,0.6,0.637625516834022,0.733313644418193,0.8,0.8502658003544,0.905345540460721,0.937536916715889,0.95,0.99,1,NA
"2601","Nacogdoches County, Texas",0,0.13282819825854,0.2,0.222078030810449,0.282150033489618,0.347580375083724,0.399949765572672,0.4,0.451230743469524,0.504479236436705,0.554336905559277,0.59552913596785,0.6,0.671090087073007,0.76310281312793,0.8,0.861143670462157,0.925360013395847,0.95,0.99,1,NA,NA
"2602","Bandera County, Texas",0,0.0721177038109021,0.115533043897733,0.160154365653642,0.194163048721659,0.2,0.247346840328027,0.295103714423541,0.381572600096479,0.4,0.430294259527255,0.501567776169802,0.571755909310179,0.6,0.698866377231066,0.8,0.815002411963338,0.901833092136999,0.931741437530149,0.95,0.99,1,NA
"2603","Wilson County, Texas",0,0.0423208632163856,0.0925890030367642,0.142986366866964,0.177359953479356,0.2,0.216062544420753,0.260774051818828,0.294824578406668,0.331007301156555,0.368934548039026,0.4,0.442850681656652,0.549072817729534,0.6,0.703043225431285,0.8,0.812237513730051,0.888738127544098,0.95,0.99,1,NA
"2604","Potter County, Texas",0,0.0904758599949106,0.171466907257038,0.2,0.249172970597081,0.32352464894626,0.386841557359983,0.4,0.464131214287367,0.515233534596433,0.568695491243899,0.6,0.612811437296134,0.694681564762764,0.77995234459944,0.8,0.872116963934578,0.928817637124945,0.95,0.99,1,NA,NA
"2605","Deaf Smith County, Texas",0,0.0666774297707459,0.141588634162092,0.2,0.215854052308686,0.266709719082984,0.328543752018082,0.391992250565063,0.4,0.456247981917985,0.519857927026154,0.571197933484017,0.6,0.668065870196965,0.731191475621569,0.8,0.846787213432354,0.935098482402325,0.95,0.99,1,NA,NA
"2606","Bee County, Texas",0,0.0962109107509701,0.184775165487332,0.2,0.230883359963479,0.281899109792285,0.32595297877197,0.4,0.425701894544625,0.466788404473864,0.522597580461082,0.586281670851404,0.6,0.670166628623602,0.787149052727688,0.8,0.87674047021228,0.913033553983109,0.939397397854371,0.95,0.99,1,NA
"2607","Schleicher County, Texas",0,0.166666666666667,0.2,0.221601489757914,0.251396648044693,0.310055865921788,0.34171322160149,0.367783985102421,0.4,0.402234636871508,0.443202979515829,0.456238361266294,0.540037243947858,0.6,0.647113594040968,0.8,0.819366852886406,0.896648044692737,0.907821229050279,0.95,0.99,1,NA
"2608","Rains County, Texas",0,0.070697452987384,0.132111402047132,0.2,0.223280171387765,0.281123542013806,0.333492025708165,0.366579385860509,0.4,0.412044751249702,0.464413234944061,0.51344917876696,0.6,0.635562961199714,0.759343013568198,0.8,0.867412520828374,0.919542965960486,0.95,0.99,1,NA,NA
"2609","Upshur County, Texas",0,0.0710054897428489,0.13507656746605,0.181017047096215,0.2,0.240031782721757,0.290667437156891,0.359939323894828,0.4,0.418665125686218,0.480713666570355,0.524703842819994,0.598381970528749,0.6,0.715255706443224,0.8,0.840002889338342,0.914692285466628,0.947197341808726,0.95,0.99,1,NA
"2610","Milam County, Texas",0,0.0782152792638562,0.187459875882731,0.2,0.262679221057137,0.331371709822384,0.397389257436336,0.4,0.448855125187246,0.510913759897282,0.551465867750909,0.584314145088808,0.6,0.667558313717098,0.757864326984806,0.8,0.849775304943291,0.930665525358442,0.95,0.99,1,NA,NA
"2611","Upton County, Texas",0,0.114215283483977,0.163516844700082,0.199671322925226,0.2,0.260476581758422,0.335250616269515,0.4,0.423171733771569,0.472473294987675,0.492193919474117,0.524239934264585,0.598192276088743,0.6,0.671322925225965,0.795398520953164,0.8,0.876746096959737,0.925225965488907,0.95,0.99,1,NA
"2612","Cooke County, Texas",0,0.0515824085491163,0.111042608576517,0.170571311138512,0.2,0.230853541581038,0.278668310727497,0.344362241402932,0.389984929442389,0.4,0.43601863268941,0.477257158514865,0.56288532675709,0.6,0.655980271270037,0.785929579394438,0.8,0.871763255240444,0.921153582682559,0.95,0.99,1,NA
"2613","Medina County, Texas",0,0.0730550918196995,0.119666110183639,0.170818030050083,0.2,0.226377295492487,0.272587646076795,0.315993322203673,0.357061769616027,0.394390651085142,0.4,0.435525876460768,0.519732888146912,0.6,0.622437395659432,0.773756260434057,0.8,0.856360601001669,0.905843071786311,0.95,0.99,1,NA
"2614","Crockett County, Texas",0,0.0662944870900209,0.133286810886253,0.157013258897418,0.197487787857641,0.2,0.270062805303559,0.309141660851361,0.329378925331472,0.358688066992324,0.4,0.445219818562456,0.550593161200279,0.6,0.662247034193999,0.777390090718772,0.8,0.948360083740405,0.95,0.99,1,NA,NA
"2615","Castro County, Texas",0,0.0351859256297481,0.10515793682527,0.143942423030788,0.2,0.25389844062375,0.357856857257097,0.4,0.431427429028389,0.508996401439424,0.558176729308277,0.6,0.624950019992003,0.690523790483807,0.794082367053179,0.8,0.878048780487805,0.915233906437425,0.95,0.99,1,NA,NA
"2616","Blanco County, Texas",0,0.0523535062439962,0.0826128722382325,0.145052833813641,0.198366954851105,0.2,0.260566762728146,0.318683957732949,0.38328530259366,0.4,0.426032660902978,0.462776176753122,0.536983669548511,0.6,0.640249759846302,0.770413064361191,0.8,0.817723342939481,0.904899135446686,0.95,0.99,1,NA
"2617","Jeff Davis County, Texas",0,0.0596285434995112,0.10752688172043,0.147605083088954,0.2,0.208211143695015,0.286412512218964,0.333333333333333,0.387096774193548,0.4,0.458455522971652,0.495601173020528,0.6,0.653958944281525,0.770283479960899,0.8,0.855327468230694,0.911045943304008,0.95,0.99,1,NA,NA
"2618","Hood County, Texas",0,0.0504968469329257,0.0914867188992929,0.149340722339002,0.188897381998853,0.2,0.242451748519014,0.316166634817504,0.364131473342251,0.4,0.401490540798777,0.449933116759029,0.531912860691764,0.6,0.648624116185744,0.76318555321995,0.8,0.840626791515383,0.896378750238869,0.949550926810625,0.95,0.99,1
"2619","Delta County, Texas",0,0.0969917012448133,0.1649377593361,0.2,0.216804979253112,0.309128630705394,0.398340248962656,0.4,0.453838174273859,0.481327800829876,0.538381742738589,0.552385892116183,0.6,0.660269709543568,0.756742738589212,0.8,0.860477178423237,0.925311203319502,0.95,0.99,1,NA,NA
"2620","Coryell County, Texas",0,0.0554766594896697,0.10376105181181,0.158275688304549,0.2,0.212515461083879,0.276558706308122,0.322094461496175,0.3855879792936,0.4,0.446287049338037,0.509551514040955,0.6,0.606486783636447,0.713546200009162,0.8,0.850565761143433,0.916853726693848,0.95,0.99,1,NA,NA
"2621","Guadalupe County, Texas",0,0.0510829587249694,0.0889252145484266,0.126849203105844,0.171700040866367,0.2,0.209807928075194,0.251062525541479,0.294912137310993,0.346117695136902,0.391050265631385,0.4,0.478361258684103,0.587903555373927,0.6,0.732488761749081,0.8,0.841315897016755,0.904188802615448,0.95,0.99,1,NA
"2622","Somervell County, Texas",0,0.0443000590667454,0.118724158298878,0.187241582988777,0.2,0.250443000590667,0.276727702303603,0.32309509746013,0.387773183697578,0.4,0.449202598936799,0.480803307737744,0.594506792675724,0.6,0.668930891907856,0.8,0.825162433549911,0.88275251033668,0.918192557590077,0.945658594211459,0.95,0.99,1
"2623","Cottle County, Texas",0,0.102362204724409,0.2,0.203149606299213,0.294488188976378,0.341732283464567,0.388976377952756,0.4,0.500787401574803,0.577952755905512,0.6,0.620472440944882,0.692913385826772,0.788976377952756,0.8,0.891338582677165,0.948031496062992,0.95,0.99,1,NA,NA,NA
"2624","Madison County, Texas",0,0.069885950012133,0.14680902693521,0.2,0.221548167920408,0.296529968454259,0.384858044164038,0.4,0.4494054841058,0.507643775782577,0.565396748362048,0.6,0.621208444552293,0.688910458626547,0.7752972579471,0.8,0.867022567338025,0.917738413006552,0.95,0.99,1,NA,NA
"2625","Rusk County, Texas",0,0.0692277361572692,0.135977017968794,0.2,0.20813383653467,0.280797611671267,0.330535684109728,0.389511631836873,0.4,0.438686419196755,0.488424491635217,0.535796766743649,0.6,0.616064890441052,0.717963161155861,0.8,0.834844814960852,0.899002985410916,0.937982312848533,0.95,0.99,1,NA
"2626","Hidalgo County, Texas",0,0.133317858593614,0.2,0.226242182652519,0.308859437284897,0.380397373460524,0.4,0.445989438490142,0.502024363787324,0.551689350551957,0.594171974948777,0.6,0.638868677490057,0.710620879292566,0.79495225894001,0.8,0.884122470661233,0.931734078501569,0.95,0.99,1,NA,NA
"2627","Brewster County, Texas",0,0.0725465838509317,0.152546583850932,0.2,0.251428571428571,0.32223602484472,0.394534161490683,0.4,0.463354037267081,0.511801242236025,0.574658385093168,0.6,0.620372670807453,0.702360248447205,0.756521739130435,0.8,0.866832298136646,0.921490683229814,0.95,0.99,1,NA,NA
"2628","Comal County, Texas",0,0.042934176696776,0.0781779709221633,0.117699255989625,0.157084025391914,0.199358376373689,0.2,0.252918022343064,0.291529202976042,0.338763623125754,0.377215535482697,0.4,0.456667652613137,0.55502718936998,0.6,0.703624490910332,0.797729289435963,0.8,0.860298969306728,0.935405337762508,0.95,0.99,1
"2629","Haskell County, Texas",0,0.102844638949672,0.168490153172867,0.2,0.271334792122538,0.341356673960613,0.385120350109409,0.4,0.466958424507659,0.500656455142232,0.54835886214442,0.584682713347921,0.6,0.664770240700219,0.8,0.800437636761488,0.866520787746171,0.919912472647702,0.95,0.99,1,NA,NA
"2630","Fannin County, Texas",0,0.085435109403708,0.15876064807082,0.2,0.222816101553366,0.28929346918323,0.347168865876065,0.4,0.402371805578754,0.456155002505428,0.508100885251378,0.548939368632036,0.6,0.631117421079004,0.72791047269083,0.8,0.862702522131284,0.929513946884917,0.95,0.99,1,NA,NA
